Категорія,номенклатура,Назва,Кат 1 ,Кат 2,Кат 3,Кат 6,Залишок
,14373,Нап.розч.МасCoffee 3в1 Карамель 18г(20пак х25),46.00,48.00,51.00,45.00,181
,14370,Нап.розч.МасCoffee 3в1 Французька ваніль 18г(20пак х25),46.00,48.00,51.00,45.00,56
,14368,Напій розч. MacCoffee 3в1 Мала банка  20г(50х12),115.00,120.00,125.00,110.00,108
,14404,Нап.розч.МасChocolate  20гр .(10 х40) шоколад,35.50,37.00,39.00,33.50,108
,14427,Кава розч. MacCoffee Arabica 2г. (30х12),59.00,62.00,65.00,56.50,26
,14428,Кава розч. MacCoffee Gold 2г. (30х12),61.50,64.50,67.80,58.50,38
,14425,Нап.розч.МасCoffee 2в1 без цукру  12г(10х50),23.85,25.00,26.30,22.70,135
,14426,Нап.розч.МасCoffee 3в1 Strong 16г(25х20),59.60,62.60,65.70,56.75,63
,1724,Нап.розч.МасCoffee 3в1 20гр .(25 х40) Original,57.00,59.80,62.75,54.20,694
,14748,Нап.розч.МасCoffee 3в1 Капучіно ді Торіно (25гх20шт*20),90.00,95.00,100.00,88.00,252
,14753,Кава розч. MacCoffee Arabica дой пак 75г. (12),48.72,51.16,53.75,46.40,59
,14754,Кава розч. МасCoffee Gold дой-пак  75г. (12),46.40,48.70,51.15,44.20,27
,14799,Нап.розч.МасCoffee 3в1 16гр .(20 х20) ARABIKA,65.35,68.60,72.00,62.25,3
,14798,Нап.розч.МасCoffee 3в1 16гр .(20 х20) COLD,65.35,68.60,72.00,62.25,4
,14838,Нап.розч.МасCoffee 3в1 Лісовий горіх  18г(50шт х12 Банка),119.25,125.20,131.45,113.60,13
,14881,Нап.розч.МасCoffee 3в1 Згущене молоко 18г(20пак х25 ),46.00,48.00,51.00,45.00,248
,14999,Нап.розч.МасCoffee 3в1 Лісовий горіх  18г(10пак х25),23.90,25.00,26.30,22.75,248
